1* Populacao:
Cromossomo: [110, 23, 10, 3, 2] -> Precisao: 81.9%, Recall: 73.2%, F1: 77.3%
Cromossomo: [219, 12, 9, 4, 1] -> Precisao: 38.6%, Recall: 73.9%, F1: 50.7%
Cromossomo: [342, 12, 10, 4, 1] -> Precisao: 38.6%, Recall: 73.7%, F1: 50.7%
Cromossomo: [183, 24, 3, 2, 0] -> Precisao: 91.5%, Recall: 68.5%, F1: 78.3%
Cromossomo: [313, 16, 6, 4, 0] -> Precisao: 55.0%, Recall: 74.7%, F1: 63.4%
Cromossomo: [140, 10, 4, 4, 2] -> Precisao: 35.2%, Recall: 73.3%, F1: 47.6%
Cromossomo: [350, 13, 10, 3, 0] -> Precisao: 41.9%, Recall: 74.2%, F1: 53.6%
Cromossomo: [206, 15, 2, 2, 1] -> Precisao: 50.7%, Recall: 74.2%, F1: 60.2%
Cromossomo: [131, 24, 9, 3, 2] -> Precisao: 84.7%, Recall: 73.1%, F1: 78.5%
Cromossomo: [104, 22, 10, 4, 1] -> Precisao: 79.5%, Recall: 72.7%, F1: 75.9%

Melhor Cromossomo: [131, 24, 9, 3, 2] -> Precisao: 84.7%, Recall: 73.1%, F1: 78.5%

2* Populacao:
Cromossomo: [104, 24, 5, 3, 2] -> Precisao: 86.6%, Recall: 72.0%, F1: 78.6%
Cromossomo: [131, 22, 5, 5, 1] -> Precisao: 78.1%, Recall: 73.1%, F1: 75.5%
Cromossomo: [131, 15, 9, 4, 1] -> Precisao: 49.8%, Recall: 74.5%, F1: 59.7%
Cromossomo: [206, 24, 2, 2, 0] -> Precisao: 91.6%, Recall: 68.4%, F1: 78.3%
Cromossomo: [183, 24, 3, 2, 0] -> Precisao: 91.6%, Recall: 68.6%, F1: 78.4%
Cromossomo: [118, 15, 2, 2, 2] -> Precisao: 52.6%, Recall: 75.7%, F1: 62.1%
Cromossomo: [206, 22, 2, 3, 2] -> Precisao: 81.6%, Recall: 73.2%, F1: 77.2%
Cromossomo: [131, 15, 9, 2, 1] -> Precisao: 50.2%, Recall: 74.5%, F1: 60.0%
