1* Populacao:
Genes: [832, 0.2267, 7, 0.6045, 0.7181, 0, 1, 3, 10] -> Acuracia: 96.3%, Precisao: 93.3%, Recall: 92.0%, Media: 93.8%
Genes: [105, 0.174, 6, 0.644, 0.5481, 5, 1, 1, 3] -> Acuracia: 81.2%, Precisao: 65.8%, Recall: 70.0%, Media: 71.8%
Genes: [608, 0.1215, 3, 0.9325, 0.7684, 5, 0, 1, 7] -> Acuracia: 80.8%, Precisao: 64.9%, Recall: 68.8%, Media: 70.9%
Genes: [677, 0.2488, 5, 0.8065, 0.9673, 1, 1, 1, 10] -> Acuracia: 89.1%, Precisao: 78.2%, Recall: 78.9%, Media: 81.8%
Genes: [287, 0.0659, 3, 0.5933, 0.6953, 2, 2, 0, 8] -> Acuracia: 77.4%, Precisao: 63.3%, Recall: 70.1%, Media: 69.8%
Genes: [487, 0.1992, 11, 0.7796, 0.842, 3, 2, 2, 2] -> Acuracia: 95.6%, Precisao: 92.0%, Recall: 90.3%, Media: 92.6%
Genes: [765, 0.1839, 5, 0.8192, 0.5095, 4, 2, 2, 8] -> Acuracia: 85.9%, Precisao: 72.3%, Recall: 73.8%, Media: 76.9%
Genes: [505, 0.2903, 12, 0.6034, 0.5455, 0, 0, 1, 4] -> Acuracia: 98.9%, Precisao: 98.6%, Recall: 97.2%, Media: 98.2%
Genes: [754, 0.0526, 12, 0.6122, 0.791, 5, 3, 1, 6] -> Acuracia: 92.5%, Precisao: 85.3%, Recall: 84.6%, Media: 87.3%
Genes: [606, 0.2824, 11, 0.7857, 0.974, 1, 3, 1, 10] -> Acuracia: 98.1%, Precisao: 96.9%, Recall: 95.3%, Media: 96.8%

Melhores Genes: [505, 0.2903, 12, 0.6034, 0.5455, 0, 0, 1, 4] -> Acuracia: 98.9%, Precisao: 98.6%, Recall: 97.2%, Media: 98.2%

2* Populacao:
